name,address,city,state,county,status,date
GATORCADE,4618 NW 43RD PLACE,GAINESVILLE,FL,ALACHUA,A,11/14/95
GATORLAND TOYOTA,2985 N MAIN ST,GAINESVILLE,FL,ALACHUA,A,2/11/94
GATOR SHOP,4072 NW 37TH TERRACE,GAINESVILLE,FL,ALACHUA,A,12/15/92
GATOR BLUE CLEANING SERVICES,2263 NE 4TH AVE,GAINESVILLE,FL,MULTIPLE,C,3/16/16
GATOR AUTO CUSTOMS,3500 NE WALDO ROAD,GAINESVILLE,FL,MULTIPLE,C,9/13/11
GATORS TOBACCO,1405 SE 10 TH TERRACE,GAINESVILLE,FL,ALACHUA,C,6/8/07
GATOR LOGISTICS,3130 NW 10TH ST,GAINESVILLE,FL,ALACHUA,C,4/25/07
GATOR LAGESTICS,3130 NW 10 ST,GAINESVILLE,FL,ALACHUA,C,12/15/06
GATORS TOBACCO,P.O.BOX 12192,GAINESVILLE,FL,ALACHUA,C,2/9/06
GATORHOMETOURS.COM,3041 SW 94 ST,GAINESVILLE,FL,ALACHUA,C,5/24/04
GATORHOMES REALTY,8510 SW 7TH PLACE,GAINESVILLE,FL,ALACHUA,C,4/8/03
GATOR TO GO .COM,4100 SW 31 ST DR APT 21,GAINESVILLE,FL,ALACHUA,C,3/3/03
GATOR PRESS,4110 SW 34TH STREET,GAINESVILLE,FL,ALACHUA,C,6/1/01
GATORFOOD.COM,818 WEST UNIVERSITY AVE.    SUITE-215,GAINESVILLE,FL,ALACHUA,C,7/31/00
GATOR SWIM CLUB,PO BOX 141811,GAINESVILLE,FL,ALACHUA,C,1/10/00
GATOR STEAM CLEAN,"4509 NW 23RD AVE, SUITE 13",GAINESVILLE,FL,MULTIPLE,C,12/22/98
GATOR SPIRITS,5214 SW 94TH ST,GAINESVILLE,FL,ALACHUA,C,12/3/98
GATOR ICE CREAM,3230 S.W. ARCHER RD. #0-172,GAINESVILLE,FL,ALACHUA,C,1/3/97
GATOR LODGE,2119 SW 13TH STREET,GAINESVILLE,FL,ALACHUA,C,2/22/96
GATOR VENDING,P.O. BOX 140447,GAINESVILLE,FL,ALACHUA,C,6/22/93
GATOR VENDING,3955 N.W. 35 ST,GAINESVILLE,FL,ALACHUA,C,10/15/92
GATOR COUNTRY CARDS & COMICS,3739 W. UNIVERSITY AVENUE,GAINESVILLE,FL,ALACHUA,C,9/3/92
GATOR ICE CREAM,3262 SW 35TH BLVD,GAINESVILLE,FL,ALACHUA,C,7/11/91
GATORS HOME AND OFFICE CLEANING SERVICES,4445 N.W. 49TH. STREET,GAINESVILLE,FL,MULTIPLE,E,10/29/12
GATOR LAUNDRY INC.,1901 NW 67TH PLACE,GAINESVILLE,FL,ALACHUA,E,10/16/12
GATOR RENTALS,14230 WEST NEWBERRY ROAD,NEWBERRY,FL,MULTIPLE,E,8/22/12
